srcIP,srcPort,dstIP,dstPort,protocol,ip_tos,ip_flags,ip_ttl,tcp_flag,tcp_window,first,second,third,fourth,fifth,mean,var,min,max,flowSize
52.223.37.89,443,146.55.105.97,7176,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,440
52.7.174.135,443,146.55.105.106,59282,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.79.70.96,443,175.84.167.221,1632,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
52.92.253.207,443,175.86.21.37,42970,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,320
55.27.163.40,4999,175.84.130.239,41073,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
55.28.201.238,443,146.55.105.101,27434,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
55.28.201.238,443,146.55.105.94,64234,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
55.8.36.251,443,136.87.70.20,42080,TCP,0,0,64,5,8192,40,40,40,40,40,40,0,40,40,280
62.135.165.105,80,162.160.55.116,54905,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
72.106.214.253,80,162.67.235.67,51417,TCP,0,0,64,5,8192,40,40,0,0,0,40,0,40,40,80
75.196.96.184,443,175.70.223.239,42756,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
89.232.231.88,59278,182.22.78.3,32406,UDP,0,0,64,0,0,28,28,0,0,0,28,0,28,28,56
89.28.239.58,45713,173.249.119.133,59415,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
91.12.171.106,443,171.176.25.166,38697,TCP,0,0,64,5,8192,40,40,40,40,0,40,0,40,40,160
91.4.80.18,18010,182.250.165.63,45194,TCP,0,0,64,5,8192,40,40,40,0,0,40,0,40,40,120
91.71.4.161,80,171.199.191.51,49818,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
93.45.160.82,55536,45.62.98.80,445,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
94.164.182.90,56209,45.237.34.151,2431,TCP,0,0,64,5,8192,40,0,0,0,0,40,0,40,40,40
94.20.173.160,53,158.48.141.156,17826,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
94.21.84.159,53,158.48.141.194,61560,UDP,0,0,64,0,0,28,0,0,0,0,28,0,28,28,28
